replicate,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_total_range,and_pooled_sd,and_range_over_sd,dprime_AND_TT_mixed,dprime_AND_mixed_FF,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_total_range,or_pooled_sd,or_range_over_sd,dprime_OR_TT_mixed,dprime_OR_mixed_FF,and_minus_or_auroc,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
10,0.939975,0.9217625,0.6652374999999999,10.852417933627713,4.353128506760521,2.493015751033682,1.9846631924238103,0.5853873204032592,0.6573083333333334,0.8171125,0.5641375,6.033061431227537,4.3807543885751805,1.3771740883171864,1.285183300488779,0.25647144044767517,0.2826666666666666,0.5559186411844005,0.4440813588155995,1.0063462132514018,0.5524129110480618
11,0.94675,0.9299375000000001,0.6879375,11.43277939556201,4.336064923350726,2.636671636071179,2.032761067688139,0.6745939191767552,0.6829166666666667,0.8391375,0.5858125000000001,6.602586546253962,4.223598277853541,1.5632610186614238,1.384146240938749,0.3323841510200056,0.26383333333333325,0.5775136839268465,0.42248631607315346,0.9740625088680002,0.592891809990716
12,0.9478833333333334,0.9296500000000001,0.693425,11.082607173205785,4.099164582823885,2.7036258118650744,2.091798509658195,0.70500136948686,0.6852583333333334,0.8468625000000001,0.5834999999999999,6.158702027380892,4.0147305566507,1.534026241730854,1.3773890609386763,0.31946993051959516,0.262625,0.5557087724150931,0.4442912275849069,0.979402138053452,0.56739591514427
13,0.9586416666666666,0.9422125,0.6995875,10.888760684328872,3.853775361451176,2.8254788261007007,2.1829889948811108,0.7265448066474379,0.680475,0.8420624999999999,0.5715125000000001,6.169089459332148,4.01609790166386,1.5360904067543544,1.397282958219328,0.3176247021082006,0.27816666666666656,0.5665557025429638,0.43344429745703617,1.0421203949343743,0.5436566689385651
14,0.940675,0.9195625,0.706325,11.24911545932789,4.1787342688486495,2.691991099598519,1.9918113332160885,0.7402825170023779,0.6738833333333334,0.8247625000000001,0.568825,5.6798547085571425,3.9706582938308945,1.4304566870893374,1.2919178072937436,0.30494814121351443,0.26679166666666665,0.5049156735116755,0.49508432648832446,0.9502059806556962,0.5313749689969904
15,0.9450583333333333,0.9242125000000001,0.6793250000000001,10.840129965996054,4.177762822297406,2.5947212484491704,2.009635766788951,0.6493293032657645,0.6560166666666667,0.8077875,0.5647625000000001,5.602509562015677,4.238721913144495,1.321745015789313,1.211471986388735,0.2618776796355109,0.28904166666666664,0.5168304789324438,0.4831695210675562,1.0145913239788866,0.509397692171867
16,0.9535166666666666,0.9386,0.6925125,11.094946869610075,4.142853308497195,2.678093102368311,2.0825836374507753,0.6875084933739014,0.6864083333333334,0.8496000000000001,0.5848,6.447019659305451,4.088561573091204,1.5768429908788453,1.427475439237524,0.3366850472752476,0.26710833333333317,0.5810771097033679,0.4189228902966321,0.9868950862212197,0.5887931937408747
17,0.9620166666666666,0.946975,0.7166250000000001,11.242666824305022,3.8400616865744936,2.927730787141074,2.195343846073334,0.7700612715255712,0.6855083333333334,0.8627,0.5755125000000001,6.141061332283077,3.718139329139386,1.6516490611728931,1.515216277131868,0.334237686958185,0.27650833333333324,0.5462281706157999,0.45377182938420013,0.9682498961250104,0.5641396635329735
18,0.95045,0.9313875,0.674725,10.732711552843224,4.063195014844146,2.6414463282301757,2.0605482375467927,0.6512767725886703,0.695525,0.8543875000000001,0.5959875,6.775349596251616,4.009022257489341,1.6900254378968438,1.5062770255154143,0.3591229332089488,0.25492500000000007,0.6312803211837688,0.36871967881623124,0.9866674483609833,0.639810629439969
19,0.9597916666666667,0.9444124999999999,0.7061625,11.660094710367146,4.024219362886475,2.8974798983134065,2.2015197340828867,0.7571554576721464,0.6770583333333333,0.8532125,0.5759749999999999,6.338649004890971,4.040090802758259,1.5689372626386109,1.4613428972299836,0.30968286952205987,0.2827333333333334,0.5436189981591826,0.4563810018408174,1.003943979798457,0.5414833985740067
